Indicator Code,Indicator Name,Aggregation method,Dataset,General comments,License Type,License URL,Long definition,Periodicity,Referenceperiod,Short definition,Source,Topic,Unit of measure,Relatedindicators,Development relevance,Limitations and exceptions,Notes from original source,Statistical concept and methodology,Otherweblinks,BasePeriod,Othernotes,Previous Indicator Name,Relatedsourcelinks
fin22a.2014,Borrowed for education or school fees (% age 15+),Weighted average,Global Findex,2014 variables,CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,The percentage of respondents who report borrowing any money for education or school fees in the past year.,Triennial,2014,The percentage of respondents who report borrowing any money for education or school fees in the past year.,Global Findex database,Assets,Percent,,,,,,,,,,
fin22a.2014.1,"""Borrowed for education or school fees, female (% age 15+)""",Weighted average,Global Findex,2014 variables,CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,"""The percentage of respondents who report borrowing any money for education or school fees in the past year, female (% age 15+)""",Triennial,2014,"""The percentage of respondents who report borrowing any money for education or school fees in the past year, female (% age 15+)""",Global Findex database,Assets,Percent,,,,,,,,,,
fin22a.2014.2,"""Borrowed for education or school fees, male (% age 15+)""",Weighted average,Global Findex,2014 variables,CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,"""The percentage of respondents who report borrowing any money for education or school fees in the past year, male (% age 15+)""",Triennial,2014,"""The percentage of respondents who report borrowing any money for education or school fees in the past year, male (% age 15+)""",Global Findex database,Assets,Percent,,,,,,,,,,
fin33.2014.d,Paid school fees (% age 15+),Weighted average,Global Findex,2014 variables,CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,The percentage of respondents who report personally making regular payments for school fees in the past year.,Triennial,2014,The percentage of respondents who report personally making regular payments for school fees in the past year.,Global Findex database,Assets,Percent,,,,,,,,,,
fin33.2014.d.1,"""Paid school fees, female (% age 15+)""",Weighted average,Global Findex,2014 variables,CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,"""The percentage of respondents who report personally making regular payments for school fees in the past year, female (% age 15+)""",Triennial,2014,"""The percentage of respondents who report personally making regular payments for school fees in the past year, female (% age 15+)""",Global Findex database,Assets,Percent,,,,,,,,,,
fin33.2014.d.2,"""Paid school fees, male (% age 15+)""",Weighted average,Global Findex,2014 variables,CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,"""The percentage of respondents who report personally making regular payments for school fees in the past year, male (% age 15+)""",Triennial,2014,"""The percentage of respondents who report personally making regular payments for school fees in the past year, male (% age 15+)""",Global Findex database,Assets,Percent,,,,,,,,,,
HD.HCI.EYRS,Expected Years of School,,,,CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,Expected years of school is calculated as the sum of age-specific enrollment rates between ages 4 and 17. Age-specific enrollment rates are approximated using school enrollment rates at different levels: pre-primary enrollment rates approximate the age-specific enrolment rates for 4 and 5 year-olds; the primary rate approximates for 6-11 year-olds; the lower-secondary rate approximates for 12-14 year-olds; and the upper-secondary approximates for 15-17 year-olds. Most recent estimates are used.  Year of most recent primary enrollment rate used is shown  in data notes.,,,,"""World Bank staff estimates based on data from UNESCO Institute for Statistics, supplemented with data provided by World Bank staff.""",Education,,,,,,,,,,,
HD.HCI.EYRS.FE,"""Expected Years of School, Female""",,,,CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,Expected years of school is calculated as the sum of age-specific enrollment rates between ages 4 and 17. Age-specific enrollment rates are approximated using school enrollment rates at different levels: pre-primary enrollment rates approximate the age-specific enrolment rates for 4 and 5 year-olds; the primary rate approximates for 6-11 year-olds; the lower-secondary rate approximates for 12-14 year-olds; and the upper-secondary approximates for 15-17 year-olds. Most recent estimates are used.  Year of most recent primary enrollment rate used is shown  in data notes.,,,,"""World Bank staff estimates based on data from UNESCO Institute for Statistics, supplemented with data provided by World Bank staff.""",Education,,,,,,,,,,,
HD.HCI.EYRS.MA,"""Expected Years of School, Male""",,,,CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,Expected years of school is calculated as the sum of age-specific enrollment rates between ages 4 and 17. Age-specific enrollment rates are approximated using school enrollment rates at different levels: pre-primary enrollment rates approximate the age-specific enrolment rates for 4 and 5 year-olds; the primary rate approximates for 6-11 year-olds; the lower-secondary rate approximates for 12-14 year-olds; and the upper-secondary approximates for 15-17 year-olds. Most recent estimates are used.  Year of most recent primary enrollment rate used is shown  in data notes.,,,,"""World Bank staff estimates based on data from UNESCO Institute for Statistics, supplemented with data provided by World Bank staff.""",Education,,,,,,,,,,,
HD.HCI.HLOS,Harmonized Test Scores,,,,CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,"""Harmonized test scores from major international student achievement testing programs.They are measured in TIMMS-equivalent units, where 300 is minimal attainment and 625 is advanced attainment. Most recent estimates are used.  Year of most recent estimate shown in data notes. 

Test scores from the following testing programs are included:
• TIMSS/PIRLS:  Refers to average of test scores from TIMSS (Trends in International Maths and Science Study) and PIRLS (Progress in International Reading Literacy Study), both carried out by the International Association for the Evaluation of Educational Achievement. Data from each PIRLS round is moved to the year of the nearest TIMSS round and averaged with the TIMSS data.     
• PISA:  Refers to test scores from Programme for International Student Assessment
• PISA+TIMSS/PIRLS:  Refers to the average of these programs for countries and years where both are available
• SACMEQ:  Refers to test scores from Southern and Eastern Africa Consortium for Monitoring Educational Quality 
• PASEC: Refers to test scores from Program of Analysis of Education Systems
• LLECE:  Refers to test scores from Latin American Laboratory for Assessment of the Quality of Education
• PILNA: Refers to test scores from Pacific Islands Literacy and Numeracy Assessment
• EGRA:  Refers to test scores from nationally-representative Early Grade Reading Assessments  
• EGRANR:  Refers to test scores from non-nationally-representative Early Grade Reading Assessments""",,,,Patrinos and Angrist (2018).  http://documents.worldbank.org/curated/en/390321538076747773/Global-Dataset-on-Education-Quality-A-Review-and-Update-2000-2017,Education,,,,,,,,,,,
